SAMPLE_SOURCE, SAMPLE_TRANSCRIPT, ARTIST, RECORDING, RELEASE
"Blade Runner","Move on, move on. (Note: Police robot adressing crowd gathering after a shootout)","Age of Chance","This is Crush Collision","One Thousand Years of Trouble"
"Blade Runner","All diese Momente werden verloren sein in der Zeit @ 0:12 (Note: All those moments will be lost in time)
  Zeit zu sterben. @ 0:24 (Note: Time to die.)
  [Roy howling like a wolf]  @ 0:48 (Note: Just before the final fight with Deckard)
  Gigantische Schiffe, die brannten, draußen vor der Schulter des Orion. @ 1:36 (Note: Attack ships on fire off the shoulder of Orion.)
  Gib mir Leben, Vater! @ 3:05 (Note: I want more life, father!)
  (Note: All samples taken from the dubbed German version)","Amgod","Silence besides the Sun","Half Rotten and Decayed"
"Blade Runner","That's what it is to be a slave. @ 1:39, 2:10, 3:57, 5:12 (Note: Roy Batty)
  Quite an experience to live in fear isn't it... That's what it is to be a slave. @ 0:33 (Note: Roy Batty. Partly used at 3:49 and 5:02 as well)","Aslan Faction","Forced Bleeding","Blunt Force Trauma"
"Blade Runner","I've seen things you people wouldn't believe...
  ...attack ships on fire off the shores of Orion.
  I've done questionable things - also extraordinary things, revel in your time!","ATD Convention","Cyber Vision","(Demo)"
"Blade Runner","A new life awaits you in the off-world colonies. The chance to begin again in a golden land of opportunity and adventure!","Bassomatic","Funky Love Vibrations","Science & Melody"
"Blade Runner","Quite an experience to live in fear","Battery","Sinister","Mutate"
"Blade Runner","Iichi Kotoru [oooh sound]","Bomb The Bass","Air You Breath, The","Unknown Territory"
"Blade Runner","New hope for humanity...
  [android death scream]","Brainchild","Pale Reflection","Mindwarp"
"Blade Runner","A new life awaits you","Callisto","Bounce","Netherworld, The (EP)"
"Blade Runner","Wake up, time to die... *
  If only you could see what I've seen with your eyes. **
  Go to hell or go to heaven! **
  Haha-HA! **
  [scream followed by gun blast] @ 0:02 **","Cat Rapes Dog","Schizo","Maximum Overdrive"
"Blade Runner","I want more life, fucker!","Cat Rapes Dog","Golden Generation","God, Guns and Gasoline"
"Blade Runner","'What seems to be the problem?'
   'I want more life, fucker' @ 1:05
  [Gunfire, Pris screaming] @ 1:10
  I want more life @ 2:02, 2:08, 4:37, 5:03
  What seems to be the problem? @ 4:02, 4:07
  Death @ 4:10","Cenobita","Destino Final (Global Mix)","Metamorfosis"
"Blade Runner","Hello? @ 0:30 (Note: Spoken by Darryl Hannah
  (Note: Also available on the <[Brainchild]> version of
   Enshrined on the album Mindwarp)","Circle of Dust","Enshrined","Brainchild"
"Blade Runner","'Is that part of the test?' 'No...' @ 0:21
  Get out of the way! @ 0:29 (Note: Spoken by actor Harrison Ford)
  (Note: Also found on the <[Brainchild]> version of Course of Ruin on the album Mindwarp)","Circle of Dust","Course of Ruin","Brainchild"
"Blade Runner","'It's not an easy thing to meet your maker.'
   'And what can he do for you?'
   'Can the maker repair what he makes?'
   'Would you... like to be modified?'
   'I had in mind something a little more radical.'
   'What seems to be the problem?'
   'Death.'
   'Death? Well, I'm afraid that's a little out of my jurisdiction.'
   'I want more life...' @ 0:20 (Note: Conversation between actors Rutger Hauer
   and Joe Turkel.)
  It's too bad she won't live. @ 2:13 (Note: Spoken by actor Edward James
   Olmos.)
  But then again, who does? @ 2:18 (Note: Note: Spoken by actor Edward James
   Olmos.)
  Time to die. @ 4:48 (Note: Spoken by actor Rutger Hauer.)
  (Note: Also found on the <[Brainchild]> version of Pale Reflection on the
   album Mindwarp)","Circle of Dust","Pale Reflection","Brainchild"
"Blade Runner","Quite an experience to live in fear.","Click Click","Yakutska","Yakutska (12" single)"
"Blade Runner","Move on, move on @ 2:50","Covenant","Edge of Dawn","Dreams of a Cryotank"
"Blade Runner","Time to die. @ 0:10","Crackhead","Alpha State Sales Pitch","Poo Gazer volume 1: Cat Scat Fever"
"Blade Runner","[electronic bleeps playing over Vangelis soundtrack] @ 0:00 (Note: Taken from
   the scene where Harrison Ford uses the ESPER machine to scan a photograph.
   Sample is also used in The Razor Girl Machine on the same album.)","Death Ride 69","First Contact","Screaming Down the Gravity Well"
"Blade Runner","[electronic bleeps playing over Vangelis soundtrack] @ 0:00 (Note: Taken from
   the scene where Harrison Ford uses the ESPER machine to scan a photograph.
   Sample is also used in First Contact on the same album.)","Death Ride 69","Razor Girl Machine, The","Screaming Down the Gravity Well"
"Blade Runner","The chance to begin again... 
  ...in a golden land","Deconstruction","L.A. Song","Deconstruction "
"Blade Runner","[Eagle scream] @ 1:48, 5:10 (Note: Street scene, just before the chinese 
   lady identifies Deckard's evidence as a snake's scale, when he crosses a 
   man carrying an eagle, after the ostriches)","Delerium","Red Hill","Stone Tower"
"Blade Runner","If only you could see what I have seen with your eyes
  The angels fell","Dillinja","Angels Fell","Angels Fell"
"Blade Runner","I dreamt music @ 0:00 (Note: Repeats throughout the song. Deckard, Harrison
   Ford, speaking to Rachael, Sean Young, after she lets her hair down and
   starts playing the piano.)","DJ Icey","I Dreamt Music","I Dreamt Music (12")"
"Blade Runner","I've seen things you people wouldn't believe. @ 2:47, 3:34","Dom & Roland","Mechanics","Mechanics"
"Blade Runner","I've seen things you people wouldn't believe... @ 1:54 (Note: Used multiple
   times)","","",""
"Blade Runner","It's not an easy thing to meet your maker.
  I want more life, fucker!
  Do you remember when you were a child?
  Help me...","Dual-Conscience","New Life Celebration","Dawn to Dusk"
"Blade Runner","Watch her take the pleasures from the serpent that once corrupted man.","Electric Hellfire Club, The","Where Violence is Golden","Burn, Baby, Burn!"
"Blade Runner","Tannhauser Gate @ 0:28 (Note: Repeated several times)","Electric Hellfire Club, The","Nordland","Electronomicon"
"Blade Runner","Time to die. @ 3:40","Electric Hellfire Club, The","This is the Zodiac...","Electronomicon"
"Blade Runner","The light that burns twice as bright burns half as long","EMF","Light That Burns Twice As Bright, The...","Stigma "
"Blade Runner","'You reach down, you flip the tortoise over on its back Leon.'
   'Do you make up these questions, Mr. Holden, or do they write them down
    for you?'
   'The tortoise lays on its back, its belly baking in the hot sun beating
    its legs trying to turn itself over but it can't, not without your help,
    but you're not helping.' @ 0:00, 2:59 (Note: Conversation between Leon
    and Holden, somewhat distorted)","Evil's Toy","Psi","Illusion"
"Blade Runner","I want more life.
  If only you could see what I've seen with your eyes.","Executor","I Want More Life","Terrortrance From Hell (Compilation)"
"Blade Runner","I want more life.... Fucker...","Fear Factory","Flesh Hold","Soul of a New Machine"
